name,teammate,g.x,w,l,w_percent
Adrian Dantley,Isiah Thomas,228,148,80,0.649
Adrian Dantley,Dennis Rodman,225,145,80,0.644
Adrian Dantley,Joe Dumars,214,138,76,0.645
Adrian Dantley,John Stockton,141,70,71,0.496
Adrian Dantley,Kareem Abdul-Jabbar,125,75,50,0.6
Adrian Dantley,Lou Hudson,121,75,46,0.62
Adrian Dantley,Jamaal Wilkes,98,56,42,0.571
Adrian Dantley,Karl Malone,75,38,37,0.507
Adrian Dantley,Charlie Scott,51,30,21,0.588
Adrian Dantley,Bob McAdoo,19,8,11,0.421
Adrian Dantley,Bernard King,18,5,13,0.278
Adrian Dantley,Pete Maravich,15,2,13,0.133
Adrian Dantley,Jack Sikma,13,5,8,0.385
Adrian Dantley,Moses Malone,2,2,0,1
Al Attles,Guy Rodgers,468,224,244,0.479
Al Attles,Nate Thurmond,441,215,226,0.488
Al Attles,Wilt Chamberlain,353,183,170,0.518
Al Attles,Paul Arizin,165,96,69,0.582
Al Attles,Rick Barry,161,79,82,0.491
Al Attles,Tom Gola,159,93,66,0.585
Al Attles,Jerry Lucas,77,30,47,0.39
Al Cervi,Dolph Schayes,225,141,84,0.627
Al Cervi,Earl Lloyd,40,26,14,0.65
Al Cervi,Neil Johnston,1,1,0,1
Alex English,Dan Issel,445,235,210,0.528
Alex English,David Thompson,140,72,68,0.514
Alex English,Bob Dandridge,48,15,33,0.312
Alex English,Charlie Scott,21,9,12,0.429
Allen Iverson,Carmelo Anthony,122,68,54,0.557
Allen Iverson,Dikembe Mutombo,105,61,44,0.581
Allen Iverson,Chris Webber,104,48,56,0.462
Allen Iverson,Toni Kukoč,86,62,24,0.721
Alonzo Mourning,Tim Hardaway,293,190,103,0.648
Alonzo Mourning,Dwyane Wade,185,109,76,0.589
Alonzo Mourning,Shaquille O'Neal,158,97,61,0.614
Alonzo Mourning,Gary Payton,152,91,61,0.599
Alonzo Mourning,Robert Parish,80,48,32,0.6
Alonzo Mourning,Jason Kidd,13,6,7,0.462
Alonzo Mourning,Shawn Marion,1,0,1,0
Amar'e Stoudemire,Steve Nash,405,279,126,0.689
Amar'e Stoudemire,Shawn Marion,370,235,135,0.635
Amar'e Stoudemire,Grant Hill,220,138,82,0.627
Amar'e Stoudemire,Carmelo Anthony,190,78,112,0.411
Amar'e Stoudemire,Shaquille O'Neal,79,46,33,0.582
Amar'e Stoudemire,Dwyane Wade,54,30,24,0.556
Amar'e Stoudemire,Jason Kidd,32,16,16,0.5
Amar'e Stoudemire,Dirk Nowitzki,27,13,14,0.481
Amar'e Stoudemire,Chris Bosh,25,12,13,0.48
Amar'e Stoudemire,Chauncey Billups,19,8,11,0.421
Andy Phillip,Larry Foust,291,155,136,0.533
Andy Phillip,George Yardley,213,117,96,0.549
Andy Phillip,Tom Heinsohn,156,102,54,0.654
Andy Phillip,Bill Sharman,145,96,49,0.662
Andy Phillip,Joe Fulks,145,76,69,0.524
Andy Phillip,Bob Cousy,144,95,49,0.66
Andy Phillip,Paul Arizin,136,73,63,0.537
Andy Phillip,Bob Houbregs,133,70,63,0.526
Andy Phillip,Bill Russell,130,86,44,0.662
Andy Phillip,Arnie Risen,122,76,46,0.623
Andy Phillip,Frank Ramsey,119,79,40,0.664
Andy Phillip,Neil Johnston,80,37,43,0.463
Andy Phillip,Sam Jones,62,40,22,0.645
Andy Phillip,Chuck Cooper,41,19,22,0.463
Anthony Davis,LeBron James,188,123,65,0.654
Anthony Davis,Dwight Howard,108,70,38,0.648
Anthony Davis,Russell Westbrook,69,31,38,0.449
Anthony Davis,Carmelo Anthony,34,15,19,0.441
Arnie Risen,Bobby Wanzer,501,304,197,0.607
Arnie Risen,Bob Davies,485,293,192,0.604
Arnie Risen,Bob Cousy,185,110,75,0.595
Arnie Risen,Bill Sharman,183,109,74,0.596
Arnie Risen,Tom Heinsohn,124,79,45,0.637
Arnie Risen,Andy Phillip,122,76,46,0.623
Arnie Risen,Bill Russell,97,62,35,0.639
Arnie Risen,Frank Ramsey,91,59,32,0.648
Arnie Risen,Ed Macauley,70,36,34,0.514
Arnie Risen,Sam Jones,56,36,20,0.643
Artis Gilmore,Louie Dampier,464,305,159,0.657
Artis Gilmore,Dan Issel,382,263,119,0.688
Artis Gilmore,George Gervin,223,119,104,0.534
Artis Gilmore,Larry Bird,59,38,21,0.644
Artis Gilmore,Kevin McHale,57,36,21,0.632
Artis Gilmore,Dennis Johnson,56,35,21,0.625
Artis Gilmore,Robert Parish,53,32,21,0.604
Artis Gilmore,Michael Jordan,24,15,9,0.625
Artis Gilmore,Scottie Pippen,22,15,7,0.682
Arvydas Sabonis,Scottie Pippen,195,127,68,0.651
Bailey Howell,John Havlicek,368,221,147,0.601
Bailey Howell,Tom Sanders,332,203,129,0.611
Bailey Howell,Bill Russell,280,184,96,0.657
Bailey Howell,Sam Jones,257,171,86,0.665
Bailey Howell,Wayne Embry,171,118,53,0.69
Bailey Howell,Gus Johnson,125,57,68,0.456
Bailey Howell,Walt Bellamy,97,44,53,0.454
Bailey Howell,Dave DeBusschere,97,38,59,0.392
Bailey Howell,Hal Greer,88,49,39,0.557
Bailey Howell,Billy Cunningham,88,49,39,0.557
Bailey Howell,K.C. Jones,87,61,26,0.701
Bailey Howell,Earl Lloyd,70,26,44,0.371
Bailey Howell,Dick McGuire,70,26,44,0.371
Bailey Howell,Jo Jo White,59,23,36,0.39
Ben Wallace,Chauncey Billups,377,253,124,0.671
Ben Wallace,LeBron James,104,74,30,0.712
Ben Wallace,Chris Webber,86,50,36,0.581
Ben Wallace,Tracy McGrady,54,20,34,0.37
Ben Wallace,Mitch Richmond,46,17,29,0.37
Bernard King,Paul Westphal,72,36,36,0.5
Bernard King,Moses Malone,71,31,40,0.437
Bernard King,Maurice Cheeks,28,11,17,0.393
Bernard King,Dražen Petrović,25,11,14,0.44
Bernard King,Adrian Dantley,18,5,13,0.278
Bernard King,Pete Maravich,10,2,8,0.2
Bill Bradley,Walt Frazier,781,465,316,0.595
Bill Bradley,Dave DeBusschere,498,322,176,0.647
Bill Bradley,Willis Reed,434,282,152,0.65
Bill Bradley,Earl Monroe,434,240,194,0.553
Bill Bradley,Jerry Lucas,261,161,100,0.617
Bill Bradley,Spencer Haywood,98,46,52,0.469
Bill Bradley,Walt Bellamy,86,44,42,0.512
Bill Bradley,Bob McAdoo,48,21,27,0.438
Bill Russell,Sam Jones,999,717,282,0.718
Bill Russell,Tom Sanders,796,567,229,0.712
Bill Russell,K.C. Jones,764,555,209,0.726
Bill Russell,Tom Heinsohn,715,522,193,0.73
Bill Russell,Frank Ramsey,634,462,172,0.729
Bill Russell,John Havlicek,630,440,190,0.698
Bill Russell,Bob Cousy,541,393,148,0.726
Bill Russell,Bill Sharman,361,257,104,0.712
Bill Russell,Bailey Howell,280,184,96,0.657
Bill Russell,Wayne Embry,167,116,51,0.695
Bill Russell,Andy Phillip,130,86,44,0.662
Bill Russell,Clyde Lovellette,113,82,31,0.726
Bill Russell,Arnie Risen,97,62,35,0.639
Bill Russell,Carl Braun,53,44,9,0.83
Bill Sharman,Bob Cousy,732,472,260,0.645
Bill Sharman,Frank Ramsey,424,289,135,0.682
Bill Sharman,Tom Heinsohn,377,269,108,0.714
Bill Sharman,Ed Macauley,364,207,157,0.569
Bill Sharman,Bill Russell,361,257,104,0.712
Bill Sharman,Sam Jones,292,210,82,0.719
Bill Sharman,Chuck Cooper,216,129,87,0.597
Bill Sharman,K.C. Jones,208,151,57,0.726
Bill Sharman,Arnie Risen,183,109,74,0.596
Bill Sharman,Andy Phillip,145,96,49,0.662
Bill Sharman,Don Barksdale,144,79,65,0.549
Bill Sharman,Tom Sanders,62,48,14,0.774
Bill Sharman,Earl Lloyd,7,2,5,0.286
Bill Sharman,Bob Houbregs,2,1,1,0.5
Bill Walton,Larry Bird,118,97,21,0.822
Bill Walton,Robert Parish,117,96,21,0.821
